Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,962,477",,"130,048","137,449","143,452","140,858","141,501","138,539","133,396","132,251","119,490","114,301","110,400","121,182","115,642","96,262","75,770","53,899","31,868","26,169",,"280,901","81,215","492,164","201,144","806,035","1,526,260","1,470,313","1,381,699","399,610","351,961","283,968","111,936",,35.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.60%,7.00%,7.30%,7.20%,7.20%,7.10%,6.80%,6.70%,6.10%,5.80%,5.60%,6.20%,5.90%,4.90%,3.90%,2.70%,1.60%,1.30%,,14.30%,4.10%,25.10%,10.20%,41.10%,77.80%,74.90%,70.40%,20.40%,17.90%,14.50%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,994,494",,"121,035","125,304","136,739","132,769","128,572","132,953","132,111","132,234","117,541","115,853","112,166","128,816","127,147","107,135","89,296","60,632","46,087","48,104",,"262,043","76,987","460,065","184,354","776,180","1,584,366","1,534,429","1,449,497","478,401","428,173","351,254","154,823",,38.3,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.30%,6.90%,6.70%,6.40%,6.70%,6.60%,6.60%,5.90%,5.80%,5.60%,6.50%,6.40%,5.40%,4.50%,3.00%,2.30%,2.40%,,13.10%,3.90%,23.10%,9.20%,38.90%,79.40%,76.90%,72.70%,24.00%,21.50%,17.60%,7.80%,,(X),(X),(X),(X),(X),,(X),(X)
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,217,737",,"223,364","235,390","254,889","249,830","266,146","296,394","298,191","304,423","274,423","262,354","248,667","259,855","276,315","255,064","212,195","132,444","82,106","85,687",,"490,279","149,173","862,816","366,803","1,689,407","3,451,654","3,354,921","3,200,622","1,043,811","933,533","767,496","300,237",,39.7,98.2,63,29.7,33.3,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.30%,5.60%,6.00%,5.90%,6.30%,7.00%,7.10%,7.20%,6.50%,6.20%,5.90%,6.20%,6.60%,6.00%,5.00%,3.10%,1.90%,2.00%,,11.60%,3.50%,20.50%,8.70%,40.10%,81.80%,79.50%,75.90%,24.70%,22.10%,18.20%,7.10%,,(X),(X),(X),(X),(X),,0.10%,1.60%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,089,676",,"114,965","120,858","131,187","126,875","136,534","151,212","152,586","150,976","139,026","132,344","125,315","127,897","130,156","120,608","98,781","58,773","39,833","31,750",,"252,045","75,494","442,504","187,915","857,209","1,696,454","1,647,172","1,568,793","479,901","428,084","349,745","130,356",,38.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.80%,6.30%,6.10%,6.50%,7.20%,7.30%,7.20%,6.70%,6.30%,6.00%,6.10%,6.20%,5.80%,4.70%,2.80%,1.90%,1.50%,,12.10%,3.60%,21.20%,9.00%,41.00%,81.20%,78.80%,75.10%,23.00%,20.50%,16.70%,6.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,128,061",,"108,399","114,532","123,702","122,955","129,612","145,182","145,605","153,447","135,397","130,010","123,352","131,958","146,159","134,456","113,414","73,671","42,273","53,937",,"238,234","73,679","420,312","178,888","832,198","1,755,200","1,707,749","1,631,829","563,910","505,449","417,751","169,881",,40.7,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.10%,5.40%,5.80%,5.80%,6.10%,6.80%,6.80%,7.20%,6.40%,6.10%,5.80%,6.20%,6.90%,6.30%,5.30%,3.50%,2.00%,2.50%,,11.20%,3.50%,19.80%,8.40%,39.10%,82.50%,80.20%,76.70%,26.50%,23.80%,19.60%,8.00%,,(X),(X),(X),(X),(X),,(X),(X)
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"12,801,989",,"695,661","713,446","764,806","803,486","796,554","858,956","845,892","796,556","723,623","771,892","833,747","895,407","913,745","752,966","600,229","428,104","282,090","324,829",,"1,478,252","458,412","2,632,325","1,141,628","4,825,067","10,474,419","10,169,664","9,660,388","3,301,963","2,929,770","2,388,218","1,035,023",,40.8,96.1,64.5,30.7,33.8,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,5.60%,6.00%,6.30%,6.20%,6.70%,6.60%,6.20%,5.70%,6.00%,6.50%,7.00%,7.10%,5.90%,4.70%,3.30%,2.20%,2.50%,,11.50%,3.60%,20.60%,8.90%,37.70%,81.80%,79.40%,75.50%,25.80%,22.90%,18.70%,8.10%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,272,527",,"356,756","359,022","397,027","406,292","406,537","439,636","429,903","403,156","356,156","383,106","410,099","439,223","438,162","357,271","277,604","186,060","114,887","111,630",,"756,049","234,239","1,347,044","578,590","2,441,680","5,078,946","4,925,483","4,668,223","1,485,614","1,309,877","1,047,452","412,577",,39.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.70%,6.30%,6.50%,6.50%,7.00%,6.90%,6.40%,5.70%,6.10%,6.50%,7.00%,7.00%,5.70%,4.40%,3.00%,1.80%,1.80%,,12.10%,3.70%,21.50%,9.20%,38.90%,81.00%,78.50%,74.40%,23.70%,20.90%,16.70%,6.60%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,529,462",,"338,905","354,424","367,779","397,194","390,017","419,320","415,989","393,400","367,467","388,786","423,648","456,184","475,583","395,695","322,625","242,044","167,203","213,199",,"722,203","224,173","1,285,281","563,038","2,383,387","5,395,473","5,244,181","4,992,165","1,816,349","1,619,893","1,340,766","622,446",,42.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.20%,5.40%,5.60%,6.10%,6.00%,6.40%,6.40%,6.00%,5.60%,6.00%,6.50%,7.00%,7.30%,6.10%,4.90%,3.70%,2.60%,3.30%,,11.10%,3.40%,19.70%,8.60%,36.50%,82.60%,80.30%,76.50%,27.80%,24.80%,20.50%,9.50%,,(X),(X),(X),(X),(X),,(X),(X)
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,059,361",,"54,802","49,154","62,573","71,713","74,167","76,317","71,863","68,412","56,021","63,959","71,869","73,453","77,903","61,210","46,171","34,110","18,909","26,755",,"111,727","37,046","203,575","108,834","418,493","880,978","855,786","800,805","265,058","233,154","187,155","79,774",,40.1,95.4,58.4,28,30.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.20%,4.60%,5.90%,6.80%,7.00%,7.20%,6.80%,6.50%,5.30%,6.00%,6.80%,6.90%,7.40%,5.80%,4.40%,3.20%,1.80%,2.50%,,10.50%,3.50%,19.20%,10.30%,39.50%,83.20%,80.80%,75.60%,25.00%,22.00%,17.70%,7.50%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"517,221",,"27,943","23,765","33,082","37,098","37,398","39,108","36,895","33,475","28,878","30,657","35,254","36,482","36,078","28,361","21,080","15,543","7,610","8,514",,"56,847","19,789","104,579","54,707","212,852","426,112","412,642","386,178","117,186","103,100","81,108","31,667",,38.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,4.60%,6.40%,7.20%,7.20%,7.60%,7.10%,6.50%,5.60%,5.90%,6.80%,7.10%,7.00%,5.50%,4.10%,3.00%,1.50%,1.60%,,11.00%,3.80%,20.20%,10.60%,41.20%,82.40%,79.80%,74.70%,22.70%,19.90%,15.70%,6.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"542,140",,"26,859","25,389","29,491","34,615","36,769","37,209","34,968","34,937","27,143","33,302","36,615","36,971","41,825","32,849","25,091","18,567","11,299","18,241",,"54,880","17,257","98,996","54,127","205,641","454,866","443,144","414,627","147,872","130,054","106,047","48,107",,41.7,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.00%,4.70%,5.40%,6.40%,6.80%,6.90%,6.40%,6.40%,5.00%,6.10%,6.80%,6.80%,7.70%,6.10%,4.60%,3.40%,2.10%,3.40%,,10.10%,3.20%,18.30%,10.00%,37.90%,83.90%,81.70%,76.50%,27.30%,24.00%,19.60%,8.90%,,(X),(X),(X),(X),(X),,(X),(X)
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,148,714",,"289,537","300,712","334,285","339,558","321,418","343,711","327,046","325,143","303,461","315,264","319,778","352,888","340,375","303,213","268,106","176,483","100,864","86,872",,"634,997","187,766","1,112,300","473,210","1,960,337","4,158,317","4,036,414","3,813,659","1,275,913","1,137,680","935,538","364,219",,39.9,93.3,66,30.2,35.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.80%,6.50%,6.60%,6.20%,6.70%,6.40%,6.30%,5.90%,6.10%,6.20%,6.90%,6.60%,5.90%,5.20%,3.40%,2.00%,1.70%,,12.30%,3.60%,21.60%,9.20%,38.10%,80.80%,78.40%,74.10%,24.80%,22.10%,18.20%,7.10%,,(X),(X),(X),(X),(X),,0.10%,2.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,485,001",,"146,505","152,608","170,388","171,831","165,508","170,934","156,363","157,816","148,220","151,138","153,720","166,224","158,347","137,394","123,789","80,525","41,743","31,948",,"322,996","92,723","562,224","244,616","970,672","1,982,339","1,922,777","1,806,259","573,746","510,395","415,399","154,216",,38.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,6.10%,6.90%,6.90%,6.70%,6.90%,6.30%,6.40%,6.00%,6.10%,6.20%,6.70%,6.40%,5.50%,5.00%,3.20%,1.70%,1.30%,,13.00%,3.70%,22.60%,9.80%,39.10%,79.80%,77.40%,72.70%,23.10%,20.50%,16.70%,6.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,663,713",,"143,032","148,104","163,897","167,727","155,910","172,777","170,683","167,327","155,241","164,126","166,058","186,664","182,028","165,819","144,317","95,958","59,121","54,924",,"312,001","95,043","550,076","228,594","989,665","2,175,978","2,113,637","2,007,400","702,167","627,285","520,139","210,003",,41.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,5.60%,6.20%,6.30%,5.90%,6.50%,6.40%,6.30%,5.80%,6.20%,6.20%,7.00%,6.80%,6.20%,5.40%,3.60%,2.20%,2.10%,,11.70%,3.60%,20.70%,8.60%,37.20%,81.70%,79.30%,75.40%,26.40%,23.50%,19.50%,7.90%,,(X),(X),(X),(X),(X),,(X),(X)
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"884,659",,"58,859","59,654","62,453","57,976","57,688","57,689","56,731","58,310","47,761","48,281","48,408","58,677","58,373","51,836","38,607","25,147","18,910","19,299",,"122,107","34,303","215,269","81,361","336,155","692,113","669,390","635,739","212,172","189,348","153,799","63,356",,37.7,103.3,71.6,29.8,41.8,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.70%,6.70%,7.10%,6.60%,6.50%,6.50%,6.40%,6.60%,5.40%,5.50%,5.50%,6.60%,6.60%,5.90%,4.40%,2.80%,2.10%,2.20%,,13.80%,3.90%,24.30%,9.20%,38.00%,78.20%,75.70%,71.90%,24.00%,21.40%,17.40%,7.20%,,(X),(X),(X),(X),(X),,0.10%,1.30%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"449,458",,"31,899","31,823","32,714","28,565","31,185","31,074","28,128","30,909","24,451","24,390","23,902","29,397","29,729","26,613","18,411","10,799","8,189","7,280",,"64,537","17,090","113,526","42,660","174,312","347,502","335,932","319,069","101,021","89,529","71,292","26,268",,36.5,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.10%,7.10%,7.30%,6.40%,6.90%,6.90%,6.30%,6.90%,5.40%,5.40%,5.30%,6.50%,6.60%,5.90%,4.10%,2.40%,1.80%,1.60%,,14.40%,3.80%,25.30%,9.50%,38.80%,77.30%,74.70%,71.00%,22.50%,19.90%,15.90%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"435,201",,"26,960","27,831","29,739","29,411","26,503","26,615","28,603","27,401","23,310","23,891","24,506","29,280","28,644","25,223","20,196","14,348","10,721","12,019",,"57,570","17,213","101,743","38,701","161,843","344,611","333,458","316,670","111,151","99,819","82,507","37,088",,39.1,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.40%,6.80%,6.80%,6.10%,6.10%,6.60%,6.30%,5.40%,5.50%,5.60%,6.70%,6.60%,5.80%,4.60%,3.30%,2.50%,2.80%,,13.20%,4.00%,23.40%,8.90%,37.20%,79.20%,76.60%,72.80%,25.50%,22.90%,19.00%,8.50%,,(X),(X),(X),(X),(X),,(X),(X)
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,829,174",,"407,026","405,373","443,911","435,235","443,667","482,585","452,293","426,988","422,171","440,946","431,249","460,144","438,621","364,907","315,283","208,553","132,857","117,365",,"849,284","254,442","1,510,752","624,460","2,662,939","5,487,875","5,318,422","5,043,319","1,577,586","1,393,059","1,138,965","458,775",,39,95.1,63.4,27.3,36.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,5.90%,6.50%,6.40%,6.50%,7.10%,6.60%,6.30%,6.20%,6.50%,6.30%,6.70%,6.40%,5.30%,4.60%,3.10%,1.90%,1.70%,,12.40%,3.70%,22.10%,9.10%,39.00%,80.40%,77.90%,73.80%,23.10%,20.40%,16.70%,6.70%,,(X),(X),(X),(X),(X),,0.10%,1.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,329,115",,"206,720","206,232","227,649","227,887","222,167","239,844","224,031","208,761","207,474","217,850","211,326","219,219","208,681","170,685","143,927","92,732","52,886","41,044",,"433,881","133,969","774,570","316,085","1,330,164","2,646,311","2,554,545","2,411,413","709,955","623,035","501,274","186,662",,37.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.20%,6.80%,6.80%,6.70%,7.20%,6.70%,6.30%,6.20%,6.50%,6.30%,6.60%,6.30%,5.10%,4.30%,2.80%,1.60%,1.20%,,13.00%,4.00%,23.30%,9.50%,40.00%,79.50%,76.70%,72.40%,21.30%,18.70%,15.10%,5.60%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,500,059",,"200,306","199,141","216,262","207,348","221,500","242,741","228,262","218,227","214,697","223,096","219,923","240,925","229,940","194,222","171,356","115,821","79,971","76,321",,"415,403","120,473","736,182","308,375","1,332,775","2,841,564","2,763,877","2,631,906","867,631","770,024","637,691","272,113",,40.4,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.70%,6.20%,5.90%,6.30%,6.90%,6.50%,6.20%,6.10%,6.40%,6.30%,6.90%,6.60%,5.50%,4.90%,3.30%,2.30%,2.20%,,11.90%,3.40%,21.00%,8.80%,38.10%,81.20%,79.00%,75.20%,24.80%,22.00%,18.20%,7.80%,,(X),(X),(X),(X),(X),,(X),(X)
Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"28,995,881",,"1,981,755","1,995,392","2,184,780","2,077,356","1,984,048","2,143,433","2,099,228","2,055,539","1,903,880","1,850,623","1,706,222","1,689,099","1,585,799","1,271,478","987,863","663,496","417,629","398,261",,"4,180,172","1,234,704","7,396,631","2,826,700","12,263,484","22,425,612","21,599,250","20,340,329","5,324,526","4,668,269","3,738,727","1,479,386",,35.1,98.5,62.3,20.9,41.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.80%,6.90%,7.50%,7.20%,6.80%,7.40%,7.20%,7.10%,6.60%,6.40%,5.90%,5.80%,5.50%,4.40%,3.40%,2.30%,1.40%,1.40%,,14.40%,4.30%,25.50%,9.70%,42.30%,77.30%,74.50%,70.10%,18.40%,16.10%,12.90%,5.10%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"14,385,762",,"1,009,343","1,005,288","1,124,804","1,065,387","1,015,503","1,095,287","1,064,791","1,032,517","956,251","916,626","842,631","835,900","754,370","596,142","458,667","294,677","174,905","142,673",,"2,130,092","627,637","3,767,072","1,453,253","6,229,736","11,041,650","10,618,690","9,963,576","2,421,434","2,108,631","1,667,064","612,255",,34.1,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.00%,7.00%,7.80%,7.40%,7.10%,7.60%,7.40%,7.20%,6.60%,6.40%,5.90%,5.80%,5.20%,4.10%,3.20%,2.00%,1.20%,1.00%,,14.80%,4.40%,26.20%,10.10%,43.30%,76.80%,73.80%,69.30%,16.80%,14.70%,11.60%,4.30%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"14,610,119",,"972,412","990,104","1,059,976","1,011,969","968,545","1,048,146","1,034,437","1,023,022","947,629","933,997","863,591","853,199","831,429","675,336","529,196","368,819","242,724","255,588",,"2,050,080","607,067","3,629,559","1,373,447","6,033,748","11,383,962","10,980,560","10,376,753","2,903,092","2,559,638","2,071,663","867,131",,36.1,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.70%,6.80%,7.30%,6.90%,6.60%,7.20%,7.10%,7.00%,6.50%,6.40%,5.90%,5.80%,5.70%,4.60%,3.60%,2.50%,1.70%,1.70%,,14.00%,4.20%,24.80%,9.40%,41.30%,77.90%,75.20%,71.00%,19.90%,17.50%,14.20%,5.90%,,(X),(X),(X),(X),(X),,(X),(X)
Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,205,958",,"245,883","258,067","267,584","255,453","267,379","250,777","221,376","231,972","211,720","177,015","152,354","147,856","153,324","122,365","96,848","65,072","44,340","36,573",,"525,651","158,774","930,308","364,058","1,438,677","2,378,652","2,275,650","2,127,694","518,522","455,265","365,198","145,985",,31.2,101,67.8,19.1,48.7,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.70%,8.00%,8.30%,8.00%,8.30%,7.80%,6.90%,7.20%,6.60%,5.50%,4.80%,4.60%,4.80%,3.80%,3.00%,2.00%,1.40%,1.10%,,16.40%,5.00%,29.00%,11.40%,44.90%,74.20%,71.00%,66.40%,16.20%,14.20%,11.40%,4.60%,,(X),(X),(X),(X),(X),,0.10%,2.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,610,671",,"126,468","128,358","140,959","128,559","137,284","127,932","110,674","119,611","106,738","90,360","75,935","72,194","74,793","59,324","46,574","29,279","20,368","15,261",,"269,317","80,557","476,342","185,286","730,798","1,187,743","1,134,329","1,057,941","245,599","214,128","170,806","64,908",,30.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.90%,8.00%,8.80%,8.00%,8.50%,7.90%,6.90%,7.40%,6.60%,5.60%,4.70%,4.50%,4.60%,3.70%,2.90%,1.80%,1.30%,0.90%,,16.70%,5.00%,29.60%,11.50%,45.40%,73.70%,70.40%,65.70%,15.20%,13.30%,10.60%,4.00%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,595,287",,"119,415","129,709","126,625","126,894","130,095","122,845","110,702","112,361","104,982","86,655","76,419","75,662","78,531","63,041","50,274","35,793","23,972","21,312",,"256,334","78,217","453,966","178,772","707,879","1,190,909","1,141,321","1,069,753","272,923","241,137","194,392","81,077",,31.9,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.50%,8.10%,7.90%,8.00%,8.20%,7.70%,6.90%,7.00%,6.60%,5.40%,4.80%,4.70%,4.90%,4.00%,3.20%,2.20%,1.50%,1.30%,,16.10%,4.90%,28.50%,11.20%,44.40%,74.70%,71.50%,67.10%,17.10%,15.10%,12.20%,5.10%,,(X),(X),(X),(X),(X),,(X),(X)
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"623,989",,"29,021","31,204","31,922","43,161","43,123","40,598","36,051","35,487","35,328","36,880","41,323","44,207","50,483","41,387","33,967","22,689","12,864","14,294",,"63,126","21,412","113,559","64,872","233,748","525,153","510,430","478,059","175,684","155,355","125,201","49,847",,42.8,98.2,62,32.5,29.5,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.70%,5.00%,5.10%,6.90%,6.90%,6.50%,5.80%,5.70%,5.70%,5.90%,6.60%,7.10%,8.10%,6.60%,5.40%,3.60%,2.10%,2.30%,,10.10%,3.40%,18.20%,10.40%,37.50%,84.20%,81.80%,76.60%,28.20%,24.90%,20.10%,8.00%,,(X),(X),(X),(X),(X),,0.10%,1.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"309,164",,"15,010","15,511","16,892","22,005","22,021","21,823","18,076","17,976","17,463","18,047","20,354","20,504","25,697","20,450","16,181","10,256","6,432","4,466",,"32,403","11,435","58,848","32,591","119,364","257,639","250,316","234,189","83,482","73,364","57,785","21,154",,41.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
